pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp,player_id,season
45,UTA,Bryon Russell,Cal State Long Beach,13.0,841,19805,6663.0,2914.0,1085.0,0.431,0.369,0.75,23.5,7.9,3.5,1.3,47.4,0.115,0.4,11.8,russebr01,1993
46,HOU,Richard Petruška,UCLA,1.0,22,92,53.0,31.0,1.0,0.435,0.467,0.75,4.2,2.4,1.4,0.0,0.0,-0.014,-8.2,-0.1,petruri01,1993
47,SAS,Chris Whitney,Clemson,11.0,579,10052,3738.0,815.0,1613.0,0.395,0.361,0.875,17.4,6.5,1.4,2.8,21.2,0.101,-0.2,4.6,whitnch01,1993
48,POR,Kevin Thompson,NC State,1.0,14,58,13.0,13.0,3.0,0.429,0.0,0.5,4.1,0.9,0.9,0.2,0.0,-0.016,-8.1,-0.1,thompke01,1993
49,PHO,Mark Buford,Mississippi Valley State University,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buforma01,1993
50,HOU,Marcelo Nicola,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nicolma01,1993
51,IND,Spencer Dunkley,University of Delaware,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dunklsp01,1993
52,SAC,Mike Peplowski,Michigan State,3.0,68,705,194.0,176.0,26.0,0.556,0.0,0.531,10.4,2.9,2.6,0.4,1.0,0.067,-4.5,-0.4,peplomi01,1993
53,LAC,Leonard White,Southern University and A&M College,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitele01,1993
54,PHO,Byron Wilson,Utah,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wilsoby01,1993
1,MIL,Glenn Robinson,Purdue,11.0,688,25346,14234.0,4189.0,1879.0,0.459,0.34,0.82,36.8,20.7,6.1,2.7,39.8,0.075,0.1,13.5,robingl01,1994
2,DAL,Jason Kidd,California,19.0,1391,50111,17529.0,8725.0,12091.0,0.4,0.349,0.785,36.0,12.6,6.3,8.7,138.6,0.133,3.8,73.5,kiddja01,1994
3,DET,Grant Hill,Duke,18.0,1026,34776,17137.0,6169.0,4252.0,0.483,0.314,0.769,33.9,16.7,6.0,4.1,99.9,0.138,3.0,43.6,hillgr01,1994
4,MIN,Donyell Marshall,UConn,15.0,957,25027,10716.0,6376.0,1305.0,0.435,0.35,0.731,26.2,11.2,6.7,1.4,59.0,0.113,1.1,19.9,marshdo01,1994
5,WSB,Juwan Howard,Michigan,19.0,1208,36654,16159.0,7428.0,2663.0,0.469,0.12,0.764,30.3,13.4,6.1,2.2,59.4,0.078,-1.6,3.8,howarju01,1994
6,PHI,Sharone Wright,Clemson,4.0,203,4531,1974.0,1023.0,118.0,0.456,0.083,0.618,22.3,9.7,5.0,0.6,1.4,0.015,-4.8,-3.2,wrighsh01,1994
7,LAC,Lamond Murray,California,11.0,736,18477,8286.0,3033.0,978.0,0.43,0.36,0.759,25.1,11.3,4.1,1.3,19.8,0.052,-1.2,4.0,murrala01,1994
8,SAC,Brian Grant,Xavier,12.0,756,21417,7933.0,5622.0,923.0,0.49,0.214,0.746,28.3,10.5,7.4,1.2,54.5,0.122,-0.8,6.2,grantbr01,1994
9,BOS,Eric Montross,UNC,8.0,465,8479,2071.0,2159.0,207.0,0.49,0.0,0.478,18.2,4.5,4.6,0.4,8.5,0.048,-4.4,-5.2,montrer01,1994
10,LAL,Eddie Jones,Temple,14.0,954,32778,14155.0,3857.0,2812.0,0.437,0.373,0.809,34.4,14.8,4.0,2.9,100.6,0.147,3.1,42.3,jonesed02,1994
11,SEA,Carlos Rogers,Tennessee State,8.0,298,5654,2196.0,1272.0,182.0,0.536,0.258,0.562,19.0,7.4,4.3,0.6,11.1,0.095,-1.0,1.5,rogerca01,1994
12,MIA,Khalid Reeves,Arizona,6.0,277,5837,2167.0,580.0,886.0,0.416,0.363,0.744,21.1,7.8,2.1,3.2,8.4,0.069,-1.3,1.0,reevekh01,1994
13,DEN,Jalen Rose,Michigan,13.0,923,27925,13220.0,3193.0,3527.0,0.443,0.355,0.801,30.3,14.3,3.5,3.8,47.2,0.081,-0.2,12.3,roseja01,1994
14,NJN,Yinka Dare,George Washington,4.0,110,1002,233.0,281.0,4.0,0.396,0.0,0.57,9.1,2.1,2.6,0.0,-0.7,-0.033,-8.4,-1.6,dareyi01,1994
15,IND,Eric Piatkowski,Nebraska,14.0,789,14613,5919.0,1716.0,778.0,0.434,0.399,0.839,18.5,7.5,2.2,1.0,31.0,0.102,0.2,7.9,piatker01,1994
16,GSW,Clifford Rozier,Louisville,4.0,173,2984,827.0,897.0,98.0,0.496,0.182,0.465,17.2,4.8,5.2,0.6,3.9,0.063,-3.5,-1.1,roziecl01,1994
17,POR,Aaron McKie,Temple,13.0,793,19156,5871.0,2587.0,2126.0,0.438,0.35,0.779,24.2,7.4,3.3,2.7,40.0,0.1,0.7,12.9,mckieaa01,1994
18,MIL,Eric Mobley,Pitt,3.0,113,1570,440.0,351.0,57.0,0.541,0.75,0.475,13.9,3.9,3.1,0.5,1.1,0.034,-4.3,-0.9,mobleer01,1994
19,DAL,Tony Dumas,Missouri-Kansas City,4.0,156,2222,1140.0,198.0,186.0,0.404,0.327,0.608,14.2,7.3,1.3,1.2,1.3,0.027,-3.3,-0.7,dumasto01,1994
